,2012,2013,2014,2015,2016,2017,2018,2019,2020
Randwick,"610,000","660,000","740,000","815,500","875,000","960,500","925,000","920,000","962,000"
Sydney CBD,"640,000","652,500","880,000","900,000","840,000","1,082,500","950,000","1,027,500","975,000"
